file,title,channel,source,lang,upload_date,month,label,url,summary
transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md,AI adoption? Watch this video 10 times. (I'll feed you everything.),조코딩AX파트너스-랩스 and 조코딩AX파트너스,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=1f5ijgzt1-I,AI 전환 아직도 모르신다고요. 그렇다면 회사는 3년 안에 다른 회사에 먹힐 가능성이 굉장히 [음악] 높습니다. 이건 겁주려는 말이 아니라 실제로 벌어지고 있는 현실이에요. 안녕하세요. 데모상 개발단 라균입니다. 기업들 AI 전환 그러니까 AX를 실제로 구축해 주는 일을 하고 있습니다. 오늘 영상에서는 AX가 뭔지 그리고 기업들은 어떻게 AI를 쓰고 있는지 그 사례에 대해서 전달드리도록 할게요. 대표님들이 영상 끝까지 보시면 우리 회사에 AI를 어디서부터 써야 하는지 어떤 부분을 AI로 대체할 수 있는지 머릿속에 그림 그려 주실 거예요.
transcripts/2026-07-06/(Quick_Overview)_Korea's_Real_Engine_of_the_AI_Revolution_M.__EDHZlKgvwm4.md,(Quick Overview) Korea's Real Engine of the AI Revolution: M.AX,KOTRA TV,keyword,en,,2026-07,unclassified,https://www.youtube.com/watch?v=EDHZlKgvwm4,"[music] 2025. [music] The world is different. Supply chains are fragmenting, [music] getting only deeper. The climate and energy risks are rising, getting only sharper. The race for AI leadership and sovereignty is accelerating, [music] getting only faster. What is Korea's choice, and where must we focus? Let me introduce Korea's gamechanging initiative, [music] Max. Max is manufacturing AI transformation. It's about [music] scaling advanced manufacturing with AI."
transcripts/2026-07-06/AI_컨설팅_소규모_기업을_위한_AI_도입_4단계_전략__JDpFu9sfCZM.md,AI 컨설팅: 소규모 기업을 위한 AI 도입 4단계 전략,홍소장,keyword,ko,,2026-07,unclassified,https://www.youtube.com/watch?v=JDpFu9sfCZM,[음악] a 소규모 기업의 성공적인 AI 도입을 위한 4단계 핵심 전략을 소개합니다 첫째 교육입니다 대표와 직원이 AI 활용 역량을 갖추는 것이 첫단계입니다 대표는 비즈니스 전략적 활용법을 직원은 실무중심의 AI 도구 법을 배우게 됩니다 과 단계적 도입입니다 기업의 상황에 맞는 AI 로드맵을 설계하고 작은 성공 사례를 통해 점진적으로 AI 활용을 확장합니다 성과를 검증하며 지속적인 최적화도 이룹니다 셋째 동화입니다 반복적인 업무를 AI 자동화하여 시간과 비용을 전략하고 직원들이 핵심 업무에 집중할 수 있도록 돕습니다
transcripts/2026-07-06/Webinar_From_onboarding_to_impact_-_the_5_stages_of_enterpri__uySY32ItxSc.md,Webinar: From onboarding to impact - the 5 stages of enterprise AI adoption,BOI (Board of Innovation),keyword,en,,2026-07,AX,https://www.youtube.com/watch?v=uySY32ItxSc,"Knowing that, I'm going to jump in. And for those that don't know us already, we are BOI. We are a global AI transformation studio and I am calling you based out of our New York office. So our key HQs are in New York and in Belgium and we're very much focused on AI transformation across both the enterprise but also specifically the innovation, marketing and commercial functions as well."
transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md,26 Years of Survival Keyword AX (Great AI Transformation): We’ll Tell You Everything in Just One ...,메타코드M,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=VRYJJJBqsDE,"안녕하세요. 어, 근본 어, 강의를 맡게 된 김건우라고 합니다. 뭐 제가 직감이 뭐 교수도 있고 컨설턴트도 있고 작가도 있고 여러 개 활동을 하고 있는데요. 오늘은 사실 그 직함을 떠나서이 제목처럼 아마 AI 트랜스포메이션 작년만에도 사실 AI 전환 그리고 AI 자체에 대해서 조금 많이 고민을 했다고 그러면 어 저희 DX 때 이후에 ax라는 단어에 대해서 조금 더 저희가 전략 그리고 더 나아가서 기술보다는 업무 재석이라는 어떻게 보면 제로베이스 think킹이라는 관점의 방법론에 대해서 조금 더 말씀드리도록 하겠습니다"
transcripts/2026-07-18/AI_도입을_위한_데이터_거버넌스_구축_전략은_(김유신_상무)__vH_g9HIm154.md,AI 도입을 위한 데이터 거버넌스 구축 전략은? (김유신 상무),티타임즈TV,keyword,ko,,2026-07,DX,https://www.youtube.com/watch?v=vH_g9HIm154,안녕하십니까. 김유신입니다. 이번 시간에는 기업에서 AI를 활용하는 방법들 중에서 AI 시대에서도 중요한 것은 데이터다라는 부분에 대해서 좀 더 심도 있게 말씀을 드리려고 합니다. AI는 주로 예측을 하거나 탐지를 하거나 생성을 하는 일에 잘 활용됩니다.이 이 예측과 탐지와 생성을 위해서는이 AI를 학습시키기 위한 데이터가 필요합니다. 새로운 단어를 한 가지 말씀드리고 싶은데요. 데이터 센트릭 AI라는 단어입니다. 샘포드 대학의 앤드리응 교수가이 부분을 되게 강조를 하셨었는데요. 이전에는 우리가 모델 센트릭이라고 해서 AI의 모델을 어떻게 하면 더 좋게 만들 수 있는가?
transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),티타임즈TV,keyword,ko,,2026-07,DX,https://www.youtube.com/watch?v=4n4xMvpuCDY,안녕하세요. 김유신입니다. 요즘 생성형 AI가 가져온 열풍 때문에 꼭 AI나 IT 업계 몸담지 않고 계신 분들도 AI에 대한 관심이 많이 높아졌습니다. 우리 생활에 정말 밀접하게 다가온 AI인데이 AI를 기업에서 사용하는 건 여전히 매우 어렵습니다. 비용도 문제고 보안도 문제고 내부 데이터를 어떻게 잘 연결할 것인가라는 여러 기술적인 문제도 어렵습니다. 그래서 오늘은 기업에서 AI를 사용하려면 어떻게 해야 되는가라는 부분을 제가 직접 겪었던 과정을 통해서 여러분과 나누고 말씀드리려고이 자리에 섰습니다.
"transcripts/2026-07-18/AI_전환(AX)_시대,_어떤_직무가_끝까지_살아남을까ㅣ『AI_전환_절대_공식』저자_김건우__7s8O1R8p0Rk.md","AI 전환(AX) 시대, 어떤 직무가 끝까지 살아남을까?ㅣ『AI 전환 절대 공식』저자 김건우",AI 전환공식 김건우,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=7s8O1R8p0Rk,"저는 AX 전략 기획이라는 직무가 더 중요해질 거라 생각을 합니다. 다음은 AI PO 프로덕트 오너는 사실 PO 프컨셉뿐만 아니라 실제 워크플로우와 성과 지표들을 연결하는 역할입니다. 다음은 AI 옵스 매니저인데요. 결과물에 대한 운영 책임자입니다. AI가 개입하는 지점과 사람이 개입하는 지점들이 구분이 되는 것들이 굉장히 중요하다고 말씀드렸는데요. 다음은 판단 지점의 설계자인데요. 어떤 지점에서 판단할지에 대한 부분을 설계하는 사람입니다. 안녕하세요. 김건우루입니다. 저는 삼성, LG, CJ, 현대 자동차 그룹, KT 등 여러 대기업에서 전략 기획, 리더 및 컨설턴트 역할을 하면서 업무를 수행하고 있고요."
transcripts/2026-07-18/AI_전환_(AX)_성공한_기업들은_무엇이_다를까_JP모건·월마트_사례로_보는_AX_성공_공식_(AI_전환___-B2A2gIxwIY.md,AI 전환 (AX) 성공한 기업들은 무엇이 다를까? | JP모건·월마트 사례로 보는 AX 성공 공식 (AI 전환 절대공식 저자),AI 전환공식 김건우,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=-B2A2gIxwIY,"JP모 잘하는 금융 그룹입니다. 여기서 lnm 스위트라는 것들을 만들었어요. 근데이 대규모 조직이 어떻게 트랜스포메이션을 했는지를 보면요. 맡트는 채포스 하나를 넘어서요. 전사 업무 지원에 대한 제네를 만들었습니다. 150만 명 대산으로 AI 도구를 만들었고요. 데이터 플랫폼 거버넌스 교육이 필요하다라고 말씀드릴 수 있습니다. 안녕하세요. 김건누라고 합니다. 저는 뭐 삼성, LG, CJ, 현대자동차 그룹 등 여러 가지 대기업에서 AI 전략 기획이라는 업무를 했고 팀 리더 그리고 컨설팅을 하면서 많은 기업들을 상대해 왔습니다."
transcripts/2026-07-18/AX_(AI_전환)_제대로_모르면_망합니다_개념·사례·원리_완벽_정리_(AI_전환_절대공식_저자)__Kaaq7_9vzYs.md,AX (AI 전환) 제대로 모르면 망합니다 | 개념·사례·원리 완벽 정리 (AI 전환 절대공식 저자),AI 전환공식 김건우,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=Kaaq7_9vzYs,"안녕하세요. 처음 인사드리는 김건우라입니다. 저는 삼성, 뭐 LG, 현자동차 그룹 등 주요 대기업에서 AI 전략 기획과 컨설턴트, 팀 리더 등 여러 가지 업무 역할을 했습니다. 현재는 가톨릭대학교 인공지능학과 겸민 교수로 강연을 열고 강좌를 진행하고 있고요. 아마 다들 아시겠지만 배트셀러인 AI 전환 절대 공식이라는 책을 최근에 서서 많은 대중들 앞에서 만나고 있습니다. 오늘은 AI 전환에 대해서 기억과 개인들이 왜 실패하고 고민하고 있는지에 대해서 해결책을 찾는 시간을 갖도록 하겠습니다."
transcripts/2026-07-18/Cohere_CEO_names_the_barriers_to_enterprise_AI_adoption__qD9AxSVYCOY.md,Cohere CEO names the barriers to enterprise AI adoption,CNBC International Live,keyword,en,,2026-07,AX,https://www.youtube.com/watch?v=qD9AxSVYCOY,it seems like the the teams inside of Enterprises they've got that familiarity now and there's much more intent the barriers to adoption and really realizing value I think it's twofold the first is privacy so if you think about systems built with AI if they can't access the systems that your humans use or the data that your humans use they can't actually drive value they can't help the …
transcripts/2026-07-18/Enterprise_AI_Adoption_in_2025_What_Actually_Works__9MkMQ6zkjLw.md,Enterprise AI Adoption in 2025: What Actually Works,The Tech Trek,keyword,en,,2026-07,AX,https://www.youtube.com/watch?v=9MkMQ6zkjLw,"On this episode of the show, I have with me Matt McCclardy. He is CTO Aboomi and we're going to be talking about enterprise AI adoption. We're going to talk about some of the companies that are succeeding and why some that might not be and why that is. And really, we haven't seen this big of a shift in technology for a long time."
transcripts/2026-07-18/Had_to_Cancel_My_Card_Hit_with_a_$18_Million_AI_Bill_in_Just__zzhzFihZe3w.md,"""Had to Cancel My Card"": Hit with a $18 Million AI Bill in Just 3 Days / SBS 8 News",SBS 뉴스,keyword,ko,,2026-07,unclassified,https://www.youtube.com/watch?v=zzhzFihZe3w,"미국 엔트로픽의 AI. 클로드를 쓰던 국내자가 250억 원이 넘는 요금 청구서를 받았습니다.이 터문이 없는 금액에 대한 결제 시도가 계속되면서 카드까지 정지시켜야 했습니다. 무슨 일인지 박재현 기자가 취재했습니다. &gt;&gt; 아 이게 &gt;&gt; 엔트로픽의 최신 에이전트 AI 클로드 페이블 5를 이용하는 대학생 양승민 씨는 지난 8일 사용료 청구 이메일을 받았습니다. 166만9,000달러, 25억 원이 넘는 요금을 납부해야 한다는 내용이었습니다. 실제 양시의 카드로 열차례가 넘는 결제 시도도 이루어졌지만 워낙 고액이었기 때문에 결제가 거절됐습니다."
transcripts/2026-07-18/How_to_Drive_AI_Adoption_Internally__hd6L4DRWgvY.md,How to Drive AI Adoption Internally,Boston Consulting Group,keyword,en,,2026-07,unclassified,https://www.youtube.com/watch?v=hd6L4DRWgvY,"Lee, what is your organization doing to drive AI adoption internally? Well, we have a program called AI for Us. We just launched. Thank you very much to BCG to help us doing it. It's a top-down and bottom-up program. So a year, a year and a half ago, we tried something top down. It failed miserably. Technology is easy. The change journey is much harder."
transcripts/2026-07-18/How_to_Lead_Your_Organisation’s_AI-Transformation_•_Rasmus_L__1uJZlKig0Tk.md,How to Lead Your Organisation’s AI-Transformation • Rasmus Lystrøm • YOW! 2024,GOTO Conferences,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=1uJZlKig0Tk,"모두 환영합니다. 이것은 조직의 AI 전환 전략, 역량, 문화 등을 이끌어가는 방법입니다. 음, 제가 발표를 마친 후에 '아니요'라는 말을 덧붙였어요. 발표 내용에 ' 아니요'가 많이 들어가 있어서요. 음, 제목이 너무 길어서 지루할 수도 있겠네요. 그래서 제 생각에는 그게 공통적인 주제였던 것 같아요. 어이임 씨도 같은 병을 앓았어요 . 자막을 만들어 봅시다. 자, 오늘은 제가 어떻게 걱정을 멈추고 AI를 받아들이게 되었는지에 대한 이야기를 닥터 코파일럿이 들려드리겠습니다. 안녕하세요, 저는 라스무스 리스트람입니다."
"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md","In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",메타코드M,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=ErviFf8I6K4,안녕하세요. 금번 메타코드에서 기업 AX 도입 전략에 대해서 말씀드린 강사 김건우입니다. 반갑습니다. 어 저는 근본 강의에서 AX 파트너십과 링그로스 등 주요 AX 전략 기반에 빠르고 효율적인 AS 솔루션 구축 사례와 여러 가지 전략 방법론에 대해서 말씀드리려고 합니다. 저는 현재 대기업 AI 팀장으로 있고요. 지주사 대기업 어 관련해서 식품 바이오 금융 제조 영역 등에 어 다체로운 영역에서 DX 전략 그리고 AI 그리고 ERP 컨설턴트에 대한 경력을 갖고 있습니다.
transcripts/2026-07-18/Leading_AI_Transformation_A_Chief_AI_Officer's_Perspective_A__LblTPS1LnLc.md,Leading AI Transformation: A Chief AI Officer's Perspective | Amazon Web Services,Amazon Web Services,keyword,ko,,2026-07,AX,https://www.youtube.com/watch?v=LblTPS1LnLc,"[음악] AWS가 제공하는 임원 인사이트 팟캐스트에 오신 것을 환영합니다. 제 이름은 톰 솔드스트롬입니다. 저는 AWS에서 엔터프라이즈 전략가로 일하고 있습니다. 향후 산업 동향을 살펴보면, 핵심 트렌드 중 하나는 생성형 AI와 클라우드의 등장입니다. 어, 그 둘은 서로 관련이 있어요. 클라우드 없이는 생성형 AI를 구현하는 것이 사실상 불가능합니다 . 그러므로 우리가 이것을 살펴보면, 기술을 주도하고 수용할 사람이 없으면 기술은 사실상 무의미하다는 것을 알 수 있습니다."
transcripts/2026-07-18/Leading_an_AI_Transformation__5VMbGgInp0E.md,Leading an AI Transformation,Boston Consulting Group,keyword,en,,2026-07,AX,https://www.youtube.com/watch?v=5VMbGgInp0E,"So, it starts with the team being cohesive and clear about where we're going. You've led so many waves of transformation at various companies. Compared to what you've done, what feels different about this AI moment? The pace. Full stop. The pace. The pace of change in this AI transformation is unlike anything I've ever seen. You know, in those other transformations, you had a chance to to observe and then adapt over the course of maybe a year to two, maybe even three."
